"m.id";"o.id";"n.year_of_publication";"n.Erscheinungsort";"n.controversy";"n.type"
"02-0841";"02-0666";1572;"Wolfenbüttel";"Abendmahlslehre und Christologie";"author-opponent"
"02-0841";"02-0666";1571;"Wolfenbüttel";"Abendmahlslehre und Christologie";"author-opponent"
"02-0841";"02-0828";1571;"Wolfenbüttel";"Abendmahlslehre und Christologie";"author-opponent"
"02-0841";"02-0828";1571;"Wolfenbüttel";"Abendmahlslehre und Christologie";"author-opponent"
"02-0841";"02-0828";1572;"Wolfenbüttel";"Abendmahlslehre und Christologie";"author-opponent"
"02-0782";"02-0838";1557;"Worms";"Schwenckfeld";"author-opponent"
"02-0678";"02-0655";1575;"Zürich";"Allgemeiner Druck";"author-opponent"
"02-0842";"02-0655";1576;"Zürich";"Allgemeiner Druch";"author-opponent"
"02-0770";"02-0655";1576;"Zürich";"Allgemeiner Druch";"author-opponent"
"02-0678";"02-0655";1575;"Zürich";"Allgemeiner Druck";"author-opponent"
"02-0678";"02-0673";1562;"Zürich";"Abendmahlslehre und Christologie";"author-opponent"
"02-0678";"02-0673";1561;"Zürich";"Abendmahlslehre und Christologie";"author-opponent"
"02-0678";"02-0673";1571;"Zürich";"Abendmahlslehre und Christologie";"author-opponent"
"02-0678";"02-0847";1561;"Zürich";"stancaristischer Streit";"author-opponent"
"02-0797";"02-0876";1556;"Zürich";"Abendmahlslehre und Christologie";"author-opponent"
"02-0681";"02-0876";1555;"Zürich";"Abendmahlslehre und Christologie";"author-opponent"
